FlightID,TimeDeparture,LengthOfFlight,Airline,DayOfWeek,IsDelayed,TicketPrice
92,653,86,FL,4,0,40
93,1095,80,FL,4,0,31
93,1091,73,FL,2,0,36
93,1092,72,FL,5,0,38
93,1091,73,FL,4,0,39
94,918,86,FL,7,1,37
95,535,75,FL,3,0,31
95,935,333,DL,5,1,31
95,960,330,DL,7,1,31
95,960,330,DL,6,1,32
95,960,330,DL,2,1,32
95,960,330,DL,5,1,34
95,545,73,FL,5,0,36
95,960,330,DL,4,0,41
96,375,85,FL,3,0,31
96,375,85,FL,3,0,32
99,1160,212,DL,6,0,30
99,831,78,FL,1,0,31
99,1160,212,DL,7,0,32
99,1160,212,DL,1,1,36
99,1140,204,DL,6,1,37
99,1140,204,DL,6,1,37
99,1140,204,DL,2,1,39
100,385,125,FL,7,0,31
100,385,125,FL,6,0,31
100,390,125,FL,5,0,32
100,385,125,FL,5,1,33
100,371,130,FL,7,0,36
100,385,125,FL,1,0,39
100,385,125,FL,4,0,41
101,622,252,DL,1,0,31
101,635,151,FL,5,0,35
101,622,252,DL,7,0,39
101,635,151,FL,1,0,40
101,660,152,FL,2,0,40
102,1117,118,FL,3,0,35
102,1117,118,FL,3,1,37
102,986,147,FL,2,0,40
103,525,147,FL,4,0,30
103,535,142,FL,6,1,37
103,535,142,FL,6,0,40
103,525,147,FL,3,1,41
104,440,120,DL,6,1,30
104,652,125,FL,4,0,31
104,657,125,FL,4,0,32
104,657,125,FL,6,0,36
104,440,120,DL,7,1,37
104,652,125,FL,3,0,38
104,440,120,DL,5,1,39
104,657,125,FL,3,0,39
104,657,125,FL,6,0,39
105,814,145,FL,4,0,32
105,840,140,FL,3,0,36
105,930,134,DL,6,0,37
105,950,132,DL,7,1,37
105,814,145,FL,7,0,40
105,840,140,FL,4,0,41
105,950,132,DL,6,0,41
109,1335,142,FL,3,1,30
109,1345,142,FL,6,1,30
109,1085,94,DL,1,0,32
109,1085,94,DL,5,1,34
109,1085,94,DL,3,1,35
109,1345,142,FL,4,1,36
109,1345,142,FL,1,1,38
109,1085,94,DL,6,0,41
110,450,302,DL,3,0,37
110,1027,125,FL,6,0,41
111,1255,103,FL,5,1,33
111,1255,103,FL,7,1,36
112,716,125,FL,1,0,40
113,909,146,FL,3,0,36
113,901,146,FL,5,0,37
113,901,146,FL,7,0,38
114,1113,117,FL,3,0,31
114,695,158,DL,7,1,37
115,1050,164,DL,7,1,30
115,995,142,FL,4,0,31
115,1050,163,DL,6,0,34
115,995,142,FL,7,1,35
115,1065,166,DL,1,1,35
115,995,142,FL,1,0,37
115,1050,164,DL,4,1,37
115,1065,166,DL,2,1,37
115,995,142,FL,4,0,38
115,995,142,FL,6,1,39
115,1050,164,DL,3,0,39
115,1050,164,DL,5,1,40
116,850,94,FL,3,1,30
116,861,94,FL,6,0,31
116,850,94,FL,3,0,32
117,996,79,FL,2,0,30
117,996,79,FL,5,0,31
117,1055,92,DL,7,0,33
117,996,79,FL,7,0,37
117,1055,92,DL,3,0,37
117,977,88,FL,3,1,38
117,996,79,FL,3,0,38
117,1055,92,DL,1,1,38
117,1066,90,DL,2,1,38
117,1066,90,DL,7,1,40
117,1066,90,DL,7,1,40
117,996,79,FL,6,1,41
118,645,83,FL,3,0,36
119,721,89,FL,6,1,31
119,721,89,FL,4,0,40
119,721,89,FL,2,0,40
119,721,89,FL,2,0,41
121,1080,86,FL,2,1,35
121,1080,86,FL,1,0,39
122,910,95,FL,7,0,30
122,926,95,FL,5,0,33
122,921,95,FL,5,0,39
123,945,171,DL,3,1,34
123,945,171,DL,3,0,35
123,1265,88,FL,2,0,35
123,1265,88,FL,7,1,37
124,540,254,DL,2,1,33
124,540,253,DL,5,1,35
124,540,253,DL,4,1,35
124,540,253,DL,1,1,35
124,540,253,DL,2,0,35
124,540,253,DL,4,0,37
124,540,253,DL,4,0,37
124,540,253,DL,2,1,38
124,540,254,DL,3,1,38
125,952,85,FL,3,1,30
125,960,307,DL,2,1,34
125,960,306,DL,3,0,39
125,960,306,DL,5,0,40
125,960,306,DL,4,1,40
126,510,343,DL,2,1,30
126,510,343,DL,2,1,33
126,510,345,DL,2,0,38
127,807,84,FL,4,0,35
127,822,84,FL,5,1,35
127,915,408,DL,4,0,35
127,915,408,DL,1,1,37
127,807,84,FL,2,0,38
127,915,408,DL,7,1,40
128,754,95,FL,5,0,36
128,710,90,FL,5,0,38
130,750,109,DL,5,0,32
130,1206,89,FL,4,1,32
130,1199,95,FL,5,0,36
130,1206,89,FL,4,0,36
130,739,111,DL,4,0,40
130,739,111,DL,5,0,41
130,739,111,DL,7,0,41
131,1345,82,FL,6,1,30
131,985,100,DL,5,1,31
131,985,100,DL,3,1,31
131,985,103,DL,7,0,38
131,1345,82,FL,7,1,38
131,1345,82,FL,5,1,39
132,380,95,FL,7,0,33
132,390,329,DL,1,0,33
132,380,95,FL,3,0,34
132,390,330,DL,2,0,34
132,380,95,FL,1,0,39
133,1155,410,DL,7,0,34
133,525,84,FL,4,0,36
133,525,84,FL,7,1,39
133,1155,410,DL,7,0,40
134,480,100,FL,6,0,32
135,625,93,FL,2,0,32
135,610,90,FL,7,0,36
135,625,93,FL,7,1,37
136,480,105,FL,5,0,30
136,480,105,FL,5,0,31
136,435,105,FL,7,0,40
136,480,105,FL,4,1,40
136,480,115,FL,6,0,40
137,625,115,FL,1,0,35
137,625,115,FL,4,0,36
138,948,116,FL,1,0,30
138,948,116,FL,4,0,31
138,955,110,FL,3,0,34
138,949,110,FL,4,0,41
139,1221,115,FL,4,1,34
139,1221,115,FL,2,1,34
139,1211,115,FL,4,0,36
139,1205,115,FL,3,0,38
140,540,113,FL,7,0,31
140,545,113,FL,6,0,33
140,540,113,FL,2,0,36
140,540,113,FL,6,0,36
140,540,113,FL,7,0,37
141,898,199,DL,7,0,40
142,547,273,DL,2,0,33
142,1260,115,FL,2,1,35
142,547,273,DL,7,0,39
143,360,135,FL,3,0,34
143,360,135,FL,1,0,34
144,1335,118,FL,5,1,33
144,1325,114,FL,5,0,35
145,1015,123,FL,1,0,34
145,1075,132,FL,6,0,40
146,863,112,FL,7,1,31
146,863,112,FL,5,0,36
147,693,123,FL,7,0,36
147,795,123,FL,7,1,38
147,693,123,FL,7,0,40
148,942,111,FL,6,0,30
148,1013,116,FL,4,0,32
148,937,101,FL,2,0,39
148,937,101,FL,5,0,39
149,1149,123,FL,6,0,30
149,1149,123,FL,1,0,37
149,1170,124,FL,4,1,39
150,595,110,DL,3,0,33
150,590,118,DL,2,1,36
150,590,118,DL,6,0,37
150,590,118,DL,4,0,37
151,748,124,DL,5,1,33
152,780,261,DL,7,1,30
152,780,261,DL,4,1,35
152,780,261,DL,2,0,36
152,780,261,DL,5,1,40
152,780,261,DL,4,1,40
154,885,184,DL,7,0,39
155,360,100,FL,4,1,30
155,360,100,FL,2,0,31
155,940,203,DL,2,1,32
155,930,205,DL,1,0,33
155,940,203,DL,1,0,34
155,940,203,DL,5,0,35
155,360,100,FL,3,0,37
155,360,100,FL,6,0,40
155,360,100,FL,2,0,41
155,360,100,FL,1,0,41
156,505,104,FL,3,0,35
156,505,104,FL,4,0,35
156,505,104,FL,2,0,37
158,1185,115,DL,3,1,30
158,1170,116,DL,4,1,33
158,1211,104,FL,4,0,33
158,1220,106,FL,4,0,34
158,1220,106,FL,1,1,38
158,1185,115,DL,4,1,41
159,540,124,DL,3,0,37
161,550,209,FL,1,1,33
161,550,209,FL,4,0,33
161,550,209,FL,5,0,37
161,550,209,FL,7,0,38
162,859,241,FL,7,0,31
162,865,249,FL,5,0,38
163,725,207,FL,1,0,33
163,778,202,FL,2,0,36
164,959,248,FL,7,1,32
164,1035,248,FL,2,0,32
164,1035,248,FL,3,0,34
164,1030,240,FL,1,1,37
164,1000,255,FL,7,0,38
164,995,248,FL,5,0,40
164,1030,240,FL,5,1,41
165,900,394,DL,5,1,40
166,741,165,DL,1,0,32
166,741,165,DL,2,1,32
166,748,164,DL,2,0,32
166,741,165,DL,4,1,33
166,741,165,DL,4,0,38
166,748,164,DL,7,0,41
167,1110,286,DL,2,0,38
170,728,86,DL,1,0,30
170,686,109,FL,7,0,33
170,728,84,DL,5,1,34
170,686,109,FL,5,0,37
170,540,105,FL,6,0,38
170,628,100,FL,5,0,41
170,728,86,DL,4,1,41
171,1335,102,FL,2,1,31
171,1335,102,FL,6,1,35
173,535,104,FL,2,0,30
173,535,104,FL,3,1,39
174,925,101,FL,5,0,30
174,1170,95,DL,6,0,38
174,1170,95,DL,4,0,39
175,696,99,FL,4,0,33
175,696,99,FL,3,0,33
175,1365,84,DL,4,1,34
175,625,106,FL,6,1,35
175,696,99,FL,2,0,36
175,620,100,FL,2,0,39
175,696,99,FL,3,1,40
176,688,109,FL,5,0,34
177,779,106,FL,5,0,32
177,797,106,FL,6,0,32
177,958,102,FL,1,0,38
177,779,106,FL,1,0,40
177,779,106,FL,7,0,41
177,958,102,FL,2,1,41
178,450,108,FL,5,0,33
180,1186,104,FL,6,0,30
180,1187,108,FL,7,0,40
181,1049,96,FL,3,1,36
182,1330,94,FL,4,1,30
182,1330,94,FL,2,1,33
182,1330,94,FL,1,1,34
182,1330,94,FL,2,1,37
183,430,385,DL,4,0,33
183,390,110,FL,5,1,36
183,390,110,FL,6,1,38
183,360,123,FL,5,0,39
183,450,380,DL,1,0,41
184,455,101,FL,6,0,30
184,455,101,FL,6,0,39
185,1139,131,FL,6,0,30
185,1139,131,FL,2,1,30
185,1139,131,FL,3,0,41
186,620,105,FL,3,0,34
189,760,118,FL,1,1,31
189,765,118,FL,5,0,33
189,761,123,FL,3,0,34
189,760,118,FL,7,0,35
189,765,118,FL,6,1,39
189,765,118,FL,1,1,39
191,600,120,FL,4,1,34
191,600,120,FL,2,0,37
191,600,120,FL,6,0,41
192,905,145,DL,3,1,30
192,998,101,FL,7,1,32
192,1000,99,FL,4,1,34
192,1000,99,FL,2,0,36
192,998,101,FL,4,0,39
192,905,145,DL,5,1,41
192,905,145,DL,2,1,41
193,968,120,FL,4,0,33
193,968,120,FL,6,0,35
193,999,118,FL,4,0,37
198,827,101,FL,6,1,31
198,861,98,FL,3,1,31
198,861,98,FL,5,1,41
199,880,120,FL,4,0,36
199,880,120,FL,3,0,40
200,360,120,FL,7,0,30
201,803,95,FL,5,0,33
201,480,86,DL,1,0,34
201,822,93,FL,4,0,35
201,480,86,DL,5,0,36
201,480,86,DL,4,0,36
201,480,86,DL,6,0,37
201,798,90,FL,4,1,41
202,670,109,FL,4,0,33
202,670,87,FL,5,0,34
202,670,109,FL,3,0,35
202,670,87,FL,2,0,40
203,942,96,FL,3,1,33
204,950,113,FL,4,1,30
204,923,106,FL,4,1,32
205,920,106,DL,3,1,35
205,920,106,DL,2,0,35
205,920,106,DL,6,1,40
205,920,106,DL,5,1,41
207,530,94,FL,2,0,31
207,530,94,FL,7,1,33
207,530,94,FL,2,0,35
207,530,94,FL,4,0,38
207,535,95,FL,4,1,38
207,535,95,FL,3,0,39
207,525,99,FL,6,0,41
208,730,180,DL,6,1,32
210,420,295,DL,1,1,31
210,420,295,DL,3,0,31
210,420,293,DL,6,0,41
212,715,175,FL,6,1,31
212,739,181,FL,5,0,32
212,739,181,FL,4,1,32
212,679,181,FL,7,0,37
212,679,181,FL,4,1,39
215,474,184,FL,4,0,32
215,474,184,FL,3,0,36
215,566,174,FL,6,0,39
215,566,174,FL,5,0,40
216,1089,181,FL,3,1,35
216,1094,181,FL,5,0,35
216,1098,181,FL,6,1,35
217,855,174,FL,1,0,40
218,628,174,FL,6,0,33
218,629,174,FL,6,0,37
221,715,208,FL,7,0,32
221,635,205,FL,2,0,35
221,1020,122,DL,4,1,35
221,635,203,FL,7,0,36
221,1080,115,DL,4,0,37
221,630,208,FL,4,0,41
224,465,245,FL,6,0,33
224,465,245,FL,7,0,37
224,535,250,FL,7,0,40
224,535,250,FL,1,0,40
224,535,250,FL,2,1,41
225,1439,205,FL,3,1,30
226,1060,250,FL,4,0,30
226,1085,250,FL,1,0,31
226,1085,250,FL,2,0,33
226,1075,250,FL,6,1,35
226,1075,250,FL,5,1,37
226,790,174,DL,4,0,38
227,798,121,FL,7,1,31
227,798,121,FL,3,0,31
227,425,208,FL,3,0,32
227,430,208,FL,2,0,33
227,425,208,FL,1,0,35
227,430,208,FL,3,0,38
227,798,121,FL,5,0,38
227,425,208,FL,5,0,41
228,520,160,FL,4,0,40
229,767,145,FL,5,0,37
229,767,145,FL,4,0,38
230,653,105,FL,5,0,30
230,653,105,FL,1,0,31
230,652,105,FL,7,0,33
230,653,105,FL,3,0,34
230,653,105,FL,7,0,36
230,653,105,FL,6,0,41
230,653,105,FL,7,0,41
233,775,85,FL,6,0,35
233,802,85,FL,4,1,35
233,802,85,FL,7,1,37
233,835,87,FL,4,0,37
233,831,87,FL,5,0,41
234,388,107,FL,5,0,31
234,385,107,FL,3,1,38
234,385,107,FL,5,0,39
236,956,105,FL,1,0,33
237,1340,91,FL,1,1,32
237,1330,92,FL,1,1,33
237,1340,91,FL,5,1,33
237,1330,92,FL,6,1,34
237,1340,91,FL,3,1,36
238,830,120,DL,2,1,33
238,830,122,DL,6,0,41
239,530,88,FL,7,0,35
239,525,87,FL,6,0,36
239,530,88,FL,1,0,36
239,530,88,FL,7,0,37
240,1185,110,FL,4,0,31
240,1189,106,FL,4,1,35
240,767,117,DL,3,1,39
240,767,117,DL,5,1,40
240,1189,106,FL,4,1,40
240,766,119,DL,5,1,41
241,1040,115,DL,3,1,36
242,807,188,DL,3,0,32
242,1250,107,FL,6,0,34
245,1140,390,DL,4,0,32
245,1140,390,DL,7,0,34
245,1140,390,DL,5,1,35
245,1140,390,DL,2,1,37
246,390,320,DL,2,0,30
246,390,320,DL,3,1,31
246,390,320,DL,7,0,33
246,390,320,DL,7,1,34
248,790,265,DL,3,0,30
248,790,265,DL,1,1,34
251,1325,112,FL,5,0,30
252,692,188,DL,5,0,35
252,692,188,DL,4,0,37
254,360,130,FL,2,1,32
254,360,134,FL,3,0,32
254,360,134,FL,6,0,41
255,950,110,FL,4,0,32
255,950,110,FL,5,0,39
256,1088,132,FL,6,1,32
256,1095,125,FL,7,1,33
256,1089,125,FL,4,0,34
256,1095,125,FL,1,1,34
258,495,219,DL,7,0,33
258,772,125,FL,5,0,33
258,495,219,DL,1,0,37
258,500,217,DL,5,1,37
258,500,217,DL,4,0,38
258,772,125,FL,1,1,39
259,615,122,FL,3,0,33
259,615,122,FL,2,0,36
259,615,122,FL,4,0,39
261,485,115,FL,4,0,30
261,485,115,FL,7,0,31
261,485,115,FL,5,1,39
261,485,115,FL,4,0,39
262,719,120,FL,7,0,40
263,870,109,FL,1,1,40
264,820,186,DL,4,0,32
264,820,125,FL,3,0,33
264,820,186,DL,2,1,37
264,850,185,DL,4,0,38
265,611,109,FL,3,0,40
267,1150,111,FL,4,0,30
268,880,188,DL,3,1,30
268,885,190,DL,7,0,36
268,880,188,DL,2,0,37
268,1079,129,FL,3,0,38
268,1079,131,FL,5,0,40
268,885,190,DL,7,1,41
269,480,200,DL,7,0,32
269,480,205,DL,6,0,32
269,490,200,DL,3,0,38
271,712,176,FL,1,0,35
271,713,176,FL,3,0,37
271,719,176,FL,6,0,40
272,540,146,FL,1,0,41
273,520,180,FL,7,0,32
273,520,180,FL,3,0,35
273,520,180,FL,1,0,37
274,889,146,FL,5,1,31
276,1260,147,FL,3,0,31
276,1250,147,FL,6,1,32
277,1117,178,FL,4,1,32
277,1117,178,FL,3,1,32
277,1117,178,FL,1,1,33
277,1117,178,FL,4,0,35
277,1117,178,FL,7,0,39
277,1117,178,FL,3,0,41
278,984,146,FL,7,0,40
281,360,185,FL,5,0,33
281,360,185,FL,5,0,35
285,1270,134,FL,2,0,31
285,1265,134,FL,7,0,32
285,1265,134,FL,1,1,33
285,1265,134,FL,2,0,34
285,1270,134,FL,3,0,41
286,749,112,FL,1,0,32
286,749,112,FL,7,0,35
286,749,112,FL,7,0,41
289,900,139,FL,6,0,33
290,365,125,FL,4,0,31
291,620,138,FL,3,1,32
291,620,138,FL,2,1,38
291,620,138,FL,4,1,41
292,1042,112,FL,2,0,34
292,1042,112,FL,6,0,34
292,1019,112,FL,2,0,35
292,1019,112,FL,1,0,35
292,1042,112,FL,1,0,40
292,1019,112,FL,6,0,41
295,540,134,FL,4,0,30
295,540,134,FL,1,0,33
296,1115,115,FL,4,0,36
297,997,139,FL,7,0,33
297,1011,136,FL,5,0,35
297,997,139,FL,7,0,37
297,1011,136,FL,3,1,37
297,997,139,FL,2,0,40
298,654,112,FL,2,0,31
298,654,112,FL,3,0,40
300,360,170,FL,4,0,30
300,1305,171,DL,2,1,31
300,1305,171,DL,1,1,35
300,1305,171,DL,3,0,37
300,1305,171,DL,3,0,38
300,1305,171,DL,4,0,39
300,375,170,FL,5,1,40
301,870,215,FL,6,0,30
301,870,215,FL,4,0,32
301,870,215,FL,4,1,33
301,870,215,FL,3,1,33
301,430,91,DL,1,0,34
301,870,215,FL,1,0,37
301,877,215,FL,2,1,38
302,1158,72,DL,2,1,30
302,1101,79,DL,2,1,32
302,1290,96,DL,3,1,33
302,1290,96,DL,1,1,37
302,1101,79,DL,3,0,38
302,1290,99,DL,3,0,39
302,1101,79,DL,4,0,41
303,430,304,DL,2,0,34
305,794,67,DL,5,0,30
305,794,67,DL,4,0,35
305,794,67,DL,1,1,36
305,745,169,FL,3,1,39
308,1012,163,FL,5,0,32
308,1005,170,FL,3,1,34
308,1012,163,FL,4,0,34
308,1005,170,FL,7,0,35
308,1005,170,FL,5,0,39
309,562,68,DL,4,0,30
309,1340,215,FL,3,1,30
309,562,68,DL,3,1,34
309,1335,215,FL,4,1,34
310,610,71,FL,3,0,34
310,610,71,FL,2,0,40
311,400,84,FL,3,0,38
312,718,78,FL,3,0,32
314,835,256,DL,3,1,34
314,890,66,FL,3,0,34
314,966,72,FL,7,1,34
314,835,256,DL,2,1,38
314,678,117,DL,4,1,39
314,944,70,FL,2,0,40
315,790,137,DL,2,0,34
315,790,130,DL,3,0,38
315,635,72,FL,1,0,39
316,1061,63,FL,3,0,34
316,1070,69,FL,4,0,38
318,1340,70,FL,2,1,36
318,1340,70,FL,7,1,37
319,900,85,DL,5,1,30
319,900,87,DL,2,0,32
319,900,87,DL,4,0,33
319,994,74,FL,5,0,34
320,713,267,DL,5,0,40
322,1319,292,DL,5,1,35
322,1319,291,DL,2,1,36
322,1319,291,DL,6,0,37
322,1319,291,DL,4,0,38
322,1319,291,DL,2,0,41
324,770,270,FL,3,1,33
324,770,270,FL,4,0,34
324,770,270,FL,6,0,40
325,525,342,FL,7,0,32
325,535,342,FL,7,1,32
325,475,81,DL,6,1,35
325,475,81,DL,2,1,35
325,525,342,FL,7,0,40
325,525,342,FL,4,0,40
326,1169,105,DL,7,0,32
326,1169,105,DL,4,0,41
327,1160,345,FL,4,1,33
327,1240,334,FL,6,1,37
328,370,83,DL,5,0,34
329,846,78,DL,1,0,37
331,355,140,FL,5,0,30
331,455,189,DL,4,1,32
331,355,140,FL,4,0,34
331,455,189,DL,3,0,39
331,455,189,DL,1,1,40
332,525,121,FL,3,0,30
332,525,121,FL,5,0,31
332,540,121,FL,4,0,32
332,657,107,DL,4,0,32
332,660,114,DL,4,0,32
332,657,107,DL,6,0,36
332,545,121,FL,7,0,40
332,660,114,DL,3,0,41
333,1080,164,DL,1,1,30
333,1080,164,DL,7,1,33
333,1080,164,DL,5,0,34
334,856,126,FL,1,1,32
334,883,126,FL,1,1,38
334,883,126,FL,4,1,41
335,691,138,FL,2,1,30
335,706,138,FL,5,0,31
335,706,138,FL,4,0,32
335,706,138,FL,5,0,39
337,1049,136,FL,4,1,35
337,1049,136,FL,5,0,36
338,1325,112,FL,2,0,33
338,1325,112,FL,1,0,33
338,1325,112,FL,2,1,33
339,420,95,DL,1,1,32
339,420,95,DL,2,0,32
339,420,95,DL,5,0,38
339,420,95,DL,7,0,41
